Artist,Sort Artist,Album,Tracks,Discs,Album DR,Date Master,Date Release,Bit Depth,Sample Rate,Channels,# Covers,Cover Width,Cover Height,Fixed Album Name,Description,Discogs Master,Discogs Release,Musicbrainz Release Group,Musicbrainz Album
Justin Currie,"Currie, Justin",This Is My Kingdom Now [2017 CD 44kHz DR06],13,1,06,2017,2017,16,44,2,1,1500,1500,,,,10279494,,4bf5214f-5510-44e0-8805-79b172fb3a1c
Justin Currie,"Currie, Justin",What Is Love For [2007 CD 44kHz DR07],12,1,07,2007,2007,16,44,2,1,1400,1400,,,552456,1570245,,8bb374be-2885-41c0-950a-481ed69b046b
Justin Currie,"Currie, Justin",Lower Reaches [2013 CD 44kHz DR08],10,1,08,2013,2013,16,44,2,1,1500,1500,,,1026826,10330696,,415052ca-80ce-40fb-811b-5c71386ce05f
Justin Currie,"Currie, Justin",The Great War [2010 Qobuz 44kHz DR06],11,1,06,2010,2010,16,44,2,1,1400,1400,,Qobuz,m696626,4866120,12e600ed-ed86-4596-b8f5-439da984995a,249ff5e5-5c2a-485f-b560-a8ea88ae4310
Shakespear's Sister,Shakespears Sister,Singles Party (1988-2019) [2019 CD 44kHz DR06],14,2,06,2019,2019,16,44,2,1,1500,1500,,,m1581859,13888281,9c861ccf-0d57-465a-abb9-adb2fbbe5de8,ebf82aad-9f4c-451d-ae5b-9466edc5221c
The Smiths,"Smiths, The",The World Won't Listen [1987 CD 44kHz DR12],16,1,12,1987,1987,16,44,2,1,1500,1500,,,m21169,486491,987715ca-eb75-3aeb-bb5e-84bc3428962b,b10ab229-b961-48c6-9eb0-ac0c06882143
The Cranberries,"Cranberries, The",No Need To Argue - The Complete Sessions 1994-1995 [2002 Qobuz 44kHz DR11],18,1,11,1994,2002,16,44,2,1,1390,1390,No Need To Argue - The Complete Sessions 1994-1995,Qobuz,m51107,9657136,,cce9a26e-c5bb-4feb-aec0-251074f96a83
Roger Taylor,"Taylor, Roger",Roger Taylor's Fun In Space [1996 CD 44kHz DR09],10,1,09,1981,1996,16,44,2,1,1500,1500,,,m60866,1601335,6de74481-fd31-3470-848b-44b242020a64,66965250-23d3-3c63-a51a-ecf05a7ad10c
The Housemartins,"Housemartins, The",London 0 Hull 4 [1986 CD 44kHz DR12],16,1,12,1986,1986,16,44,2,1,1500,1500,,,m29500,2446523,3bead24e-86b1-36c5-adfb-5a580355efb8,9bf51689-530e-43c7-8c72-ff65ebfd5270
The Housemartins,"Housemartins, The",Now That's What I Call Quite Good [1988 CD 44kHz DR12],24,1,12,1988,1988,16,44,2,1,1500,1500,,,,880474,87cc1369-370a-3d3e-8129-752da3588e6c,9c136531-7ffd-431a-a761-cf298c4daf44
The Heights,"Heights, The","Music From The Television Show ""The Heights"" [1992 CD 44kHz DR12]",14,1,12,1992,1992,16,44,2,1,2400,2400,,,546817,1227139,7e8bdf9f-26c9-3e46-bb06-7a0aa05a3dcd,8ddb46b4-97ad-4fec-80f8-9cb6cffa24a9
Chris Rea,"Rea, Chris",Shamrock Diaries (2019 Remaster) [2019 CD 44kHz DR11],13,2,11,1985,2019,16,44,2,1,1500,1500,Shamrock Diaries (2019 Remaster),,m114670,14288943,4f72328b-239e-300b-b409-530405de3485,ab1551f5-fe2c-4917-897c-49daab93be96
Chris Rea,"Rea, Chris",The Road To Hell [1989 CD 44kHz DR11],10,1,11,1989,1989,16,44,2,1,2560,2560,,,m114667,826215,a0c737b5-b41c-36c2-bacb-4538c68e1748,5048a101-571a-41d9-b369-2dc080497a17
Chris Rea,"Rea, Chris",Wired To The Moon [1991 CD 44kHz DR12],9,1,12,1984,1991,16,44,2,1,1482,1482,,,m114661,1000072,6f194b2e-63f6-366c-b8a3-ab3d0521903b,2582299c-8c86-46a7-a2ef-11a9a8e9ab21
Chris Rea,"Rea, Chris",Shamrock Diaries [1985 CD 44kHz DR13],10,1,13,1985,1985,16,44,2,1,1500,1500,,,m114670,5526592,4f72328b-239e-300b-b409-530405de3485,2529dec0-f6fa-47dc-b86a-21ac23eda2e4
Chris Rea,"Rea, Chris",Dancing With Strangers [1987 CD 44kHz DR14],14,1,14,1987,1987,16,44,2,1,2400,2400,,,m114662,826315,f65d5695-a859-3da2-bd29-2e7234ae71a9,7ed88f64-ac3b-4b4f-a584-fcbeab3a02dd
Chris Rea,"Rea, Chris",Dancing With Strangers (2019 Remaster) [2019 CD 44kHz DR11],17,2,11,1987,2019,16,44,2,1,1500,1500,Dancing With Strangers (2019 Remaster),,m114662,14288944,f65d5695-a859-3da2-bd29-2e7234ae71a9,0d65164e-86b5-4da3-818f-6b9e039dd196
Chris Rea,"Rea, Chris",On The Beach (2019 Remaster) [2019 CD 44kHz DR11],13,2,11,1986,2019,16,44,2,1,1500,1500,On The Beach (2019 Remaster),,m114664,14281650,843b05a6-3e8b-3528-8f2a-294baf314cfe,4e529e1d-d03f-44ae-bf11-0f15b9500fd4
Chris Rea,,New Light Through Old Windows (The Best Of Chris Rea) [1988 CD 44kHz DR13],13,1,13,1988,1988,16,44,2,1,1425,1425,,,m112850,1921898,,
Chris Rea,"Rea, Chris",Shamrock Diaries [2016 SHM-CD 44kHz DR10],10,1,10,1985,2016,16,44,2,1,1500,1500,,SHM-CD,m114670,8339053,4f72328b-239e-300b-b409-530405de3485,1e98cd98-1a8d-46b7-8562-a29153817a48
Chris Rea,"Rea, Chris",On The Beach [1991 CD 44kHz DR14],13,1,14,1986,1991,16,44,2,1,1425,1425,,,m114664,1103592,843b05a6-3e8b-3528-8f2a-294baf314cfe,b5df207c-87eb-383b-9e19-7db601e4a44c
Chris Rea,"Rea, Chris",Water Sign [1998 CD 44kHz DR13],10,1,13,1983,1998,16,44,2,1,1400,1400,,,m114659,9763592,418dbc74-c2c6-3d8c-80c8-666fd7551387,49c05b0a-317b-44ae-afde-6eeb7764b20f
Chris Rea,"Rea, Chris",Auberge (2019 Remaster) [2019 CD 44kHz DR10],11,2,10,1991,2019,16,44,2,1,1500,1500,Auberge (2019 Remaster),,m114672,14288946,d12084a8-bcb8-3446-9e9e-f87ea5e6966e,d9073543-9f34-482c-baa1-f041543da663
Chris Rea,"Rea, Chris",Auberge [1991 CD 44kHz DR11],11,1,11,1991,1991,16,44,2,1,2400,2400,,,m114672,1846911,d12084a8-bcb8-3446-9e9e-f87ea5e6966e,cffe4b0b-e842-3c5c-a0f1-2ddfd61164e3
Eleanor McEvoy,"McEvoy, Eleanor",Alone [2011 HDTracks 96kHz DR10],13,1,10,2011,2011,24,96,2,1,1217,1217,,HDTracks,,8888283,,9d372a48-23ac-4987-bdcf-1d2f56f4d4b2
Eleanor McEvoy,"McEvoy, Eleanor",Snapshots [1999 CD 44kHz DR10],11,1,10,1999,1999,16,44,2,1,1395,1395,,,m932901,7885591,,8d8e3fcd-0385-4259-b1ab-555540b69f29
Eleanor McEvoy,"McEvoy, Eleanor",Gimme Some Wine [2021 Tidal 44kHz DR09],10,1,09,2021,2021,16,44,2,1,1280,1280,,Tidal,,20598430,1f61bfeb-3acc-4a57-bca9-b65d7fc9f89c,2458a243-7119-42f6-800b-0e9d485f6023
Eleanor McEvoy,"McEvoy, Eleanor",I'd Rather Go Blonde [2010 SACD 44kHz DR06],12,1,06,2010,2010,16,44,2,1,1500,1500,,SACD,m741783,8575330,,5e9fd7c0-ceee-4175-a1fe-b49bb47b9e65
Eleanor McEvoy,"McEvoy, Eleanor",The Thomas Moore Project [2017 CD 44kHz DR11],11,1,11,2017,2017,16,44,2,1,2500,2500,,,,11015041,fd24d36a-0f6e-453d-8cd9-be497bfe2cd7,8935bbe5-aa2f-4608-8923-12add68469c9
Eleanor McEvoy,"McEvoy, Eleanor",Eleanor McEvoy [2003 CD 44kHz DR09],17,1,09,1993,2003,16,44,2,1,2318,2318,,,m705138,9073976,c9908522-9848-39ab-bb32-4c6f49796662,828205b7-3901-469e-92b5-555d5434d62a
Eleanor McEvoy,"McEvoy, Eleanor",If You Leave... [2013 HDTracks 96kHz DR09],12,1,09,2013,2013,24,96,2,1,1500,1500,,HDTracks,m1040927,8888042,,e5d62c20-86ca-4c30-b377-428e8b40bdc0
Eleanor McEvoy,"McEvoy, Eleanor",Naked Music [2015 CD 44kHz DR09],14,1,09,2015,2015,16,44,2,1,1500,1500,,,m1057301,8975639,3aed68ad-a9a6-4b54-843d-0f499d91fe24,9e18ba96-74ff-4205-90ef-531ac0b6801b
Feargal Sharkey,"Sharkey, Feargal",Feargal Sharkey [1985 CD 44kHz DR12],10,1,12,1985,1985,16,44,2,1,1404,1404,,,m81597,516192,027e676b-0563-351a-b0af-4a0cadfb49ff,77c62f20-77e3-4909-bf7d-2ae8be00148a
Michael Jackson,"Jackson, Michael",Bad [1987 CD 44kHz DR12],11,1,12,1987,1987,16,44,2,1,1400,1400,,,m8517,725905,a5711a77-42d1-3f4c-830c-e27a96f0800f,95bc8558-794b-47d3-949d-297aaef8acdf
