file_path,discogs_album_title,ORIGINAL FILENAME
/Volumes/flac/Adele/19_Expanded_Edition_2008_CD_44kHz_DR09,19,19 (Expanded Edition)
/Volumes/flac/Adele/21_Target_Deluxe_Edition_2011_CD_44kHz_DR07,21,21 (Target Deluxe Edition)
/Volumes/flac/Adele/25_Target_Exclusive_Limited_Edition_2015_CD_44kHz_DR06,25,25 (Target Exclusive Limited Edition)
/Volumes/flac/Adele/30_Target_Deluxe_Edition_2021_CD_44kHz_DR06,30,30 (Target Deluxe Edition)
/Volumes/flac/Amy_Macdonald/Under_Stars_Deluxe_Version_2017_Qobuz_44kHz_DR10,Under Stars,Under Stars - Deluxe Version
/Volumes/flac/Band_Aid/Do_They_Know_It_s_Christmas_Promo_1984_Vinyl_96kHz_DR11,Do They Know It's Christmas?,Do They Know It's Christmas? (Promo)
/Volumes/flac/Billy_Joel/Glass_Houses_2010_Audio_Fidelity_24_KT_Gold_HDCD_44kHz_DR13,Glass Houses,Glass Houses
/Volumes/flac/Billy_Joel/Piano_Man_50th_Anniversary_Deluxe_Edition_2024_SACD_88kHz_DR12,Piano Man,Piano Man - 50th Anniversary Deluxe Edition
/Volumes/flac/Billy_Joel/Streetlife_Serenade_2015_Audio_Fidelity_SACD_88kHz_DR13,Streetlife Serenade,Streetlife Serenade
/Volumes/flac/Bruce_Springsteen/Born_In_The_U_S_A_The_Collection_1973_84_2010_CD_44kHz_DR14,The Collection 1973-84,Born In The U.S.A.	 (The Collection 1973-84)
/Volumes/flac/Bruce_Springsteen/Darkness_On_The_Edge_Of_Town_The_Collection_1973_84_2010_CD_44kHz_DR14,The Collection 1973-84,Darkness On The Edge Of Town	(The Collection 1973-84)
/Volumes/flac/Bruce_Springsteen/Nebraska_82_Expanded_Edition_2025_Qobuz_192kHz_DR08,Nebraska,Nebraska '82: Expanded Edition
/Volumes/flac/Bruce_Springsteen/Nebraska_The_Collection_1973_84_2010_CD_44kHz_DR13,The Collection 1973-84,Nebraska (The Collection 1973-84)
/Volumes/flac/Bruce_Springsteen/The_River_The_Collection_1973_84_2010_CD_44kHz_DR13,The Collection 1973-84,The River (The Collection 1973-84)
/Volumes/flac/Bruce_Springsteen/The_Wild_The_Innocent_And_The_E_Street_Shuffle_The_Collection_1973_84_2010_CD_44kHz_DR13,The Collection 1973-84,"The Wild, The Innocent And The E Street Shuffle (The Collection 1973-84)"
/Volumes/flac/Bryan_Adams/Cuts_Like_A_Knife_40th_Anniversary_Live_From_The_Royal_Albert_Hall_2023_Qobuz_48kHz_DR08,Cuts Like A Knife (40th Anniversary - Live From The Royal Albert Hall),Cuts Like A Knife - 40th Anniversary - Live From The Royal Albert Hall
/Volumes/flac/Bryan_Adams/Reckless_30th_Anniversary_Deluxe_Edition_2014_Qobuz_44kHz_DR08,Reckless,Reckless - 30th Anniversary / Deluxe Edition
/Volumes/flac/Chris_Rea/Auberge_2019_Remaster_2019_CD_44kHz_DR10,Auberge,Auberge (2019 Remaster)
/Volumes/flac/Chris_Rea/Dancing_With_Strangers_2019_Remaster_2019_CD_44kHz_DR11,Dancing With Strangers,Dancing With Strangers (2019 Remaster)
/Volumes/flac/Chris_Rea/On_The_Beach_2019_Remaster_2019_CD_44kHz_DR11,On The Beach,On The Beach (2019 Remaster)
/Volumes/flac/Chris_Rea/Shamrock_Diaries_2019_Remaster_2019_CD_44kHz_DR11,Shamrock Diaries,Shamrock Diaries (2019 Remaster)
/Volumes/flac/Cock_Robin/Cock_Robin_Expanded_Edition_2014_Qobuz_44kHz_DR12,Cock Robin,Cock Robin - Expanded Edition
/Volumes/flac/Cyndi_Lauper/She_s_So_Unusual_1992_CD_44kHz_DR12,She's So Unusual / True Colors,She's So Unusual
/Volumes/flac/Cyndi_Lauper/True_Colors_1992_CD_44kHz_DR13,She's So Unusual / True Colors,True Colors
/Volumes/flac/Dan_Fogelberg/Souvenirs_50th_Anniversary_Edition_2025_HDTracks_96kHz_DR11,Souvenirs,Souvenirs (50th Anniversary Edition)
/Volumes/flac/David_Bowie/Legacy_Deluxe_Edition_2016_Qobuz_44kHz_DR10,Legacy,Legacy - Deluxe Edition
/Volumes/flac/Deep_Purple/Made_In_Japan_Steven_Wilson_Remix_2025_Qobuz_96kHz_DR10,Made In Japan,Made In Japan (Steven Wilson Remix)
/Volumes/flac/Del_Amitri/Change_Everything_Re_Presents_2014_Qobuz_44kHz_DR08,Change Everything,Change Everything - Re-Presents
/Volumes/flac/Del_Amitri/Fatal_Mistakes_Deluxe_Digital_Album_2021_CD_44kHz_DR09,Fatal Mistakes,Fatal Mistakes - Deluxe Digital Album
/Volumes/flac/Del_Amitri/Twisted_Re_Presents_2014_Qobuz_44kHz_DR08,Twisted,Twisted - Re-Presents
/Volumes/flac/Del_Amitri/Waking_Hours_Re_Presents_2014_Qobuz_44kHz_DR09,Waking Hours,Waking Hours (Re-Presents)
/Volumes/flac/Dire_Straits/Brothers_In_Arms_40th_Anniversary_Edition_2025_Blu_ray_96kHz_DR14,Brothers In Arms,Brothers In Arms (40th Anniversary Edition)
/Volumes/flac/Dire_Straits/bia,Brothers In Arms,Brothers In Arms (40th Anniversary Edition)
/Volumes/flac/Eagles/Hotel_California_40th_Anniversary_Deluxe_Edition_2017_Blu_ray_96kHz_DR11,Hotel California,Hotel California - 40th Anniversary Deluxe Edition
/Volumes/flac/Electric_Light_Orchestra/A_New_World_Record_30th_Anniversary_Edition_2006_CD_44kHz_DR09,A New World Record,A New World Record (30th Anniversary Edition)
/Volumes/flac/Enya/The_Celts_2009_SHM_CD_44kHz_DR11,Enya,The Celts
/Volumes/flac/Fish/Internal_Exile_2024_Remix_2024_Qobuz_48kHz_DR06,Internal Exile,Internal Exile (2024 Remix)
/Volumes/flac/Fleetwood_Mac/Greatest_Hits_Deluxe_Edition_2026_Qobuz_44kHz_DR13,Greatest Hits,Greatest Hits (Deluxe Edition)
/Volumes/flac/Fleetwood_Mac/Rumours_2011_SACD_88kHz_DR11,Rumours,Rumours
/Volumes/flac/Foreigner/4_2025_Remix_2025_Blu_ray_44kHz_DR09,4,4 (2025 Remix)
/Volumes/flac/Frankie_Goes_To_Hollywood/Welcome_To_The_Pleasuredome_Deluxe_Edition_2010_CD_44kHz_DR11,Welcome To The Pleasuredome,Welcome To The Pleasuredome - Deluxe Edition
/Volumes/flac/Frankie_Goes_To_Hollywood/Welcome_To_The_Pleasuredome_Super_Deluxe_Edition_2025_CD_44kHz_DR10,Welcome To The Pleasuredome,Welcome To The Pleasuredome (Super Deluxe Edition)
/Volumes/flac/Gary_Kemp/This_Destination_Deluxe_Edition_2025_CD_44kHz_DR06,This Destination,This Destination (Deluxe Edition)
/Volumes/flac/Herbert_Gronemeyer/4630_Bochum_40_Jahre_Edition_2024_Qobuz_44kHz_DR05,4630 Bochum,4630 Bochum - 40 Jahre Edition
/Volumes/flac/Howard_Jones/Dream_Into_Action_Special_Edition_Expanded_Deluxe_2024_Blu_ray_96kHz_DR12,Dream Into Action,Dream Into Action - Special Edition Expanded Deluxe
/Volumes/flac/Howard_Jones/Human_s_Lib_Special_Edition_Expanded_Deluxe_2024_Blu_ray_96kHz_DR11,Human's Lib,Human's Lib - Special Edition Expanded Deluxe
/Volumes/flac/Howard_Jones/One_To_One_Expanded_Remastered_2020_Qobuz_44kHz_DR10,One To One,One To One - Expanded & Remastered
/Volumes/flac/Joe_Jackson/Night_And_Day_Deluxe_Edition_2003_CD_44kHz_DR08,Night And Day,Night And Day (Deluxe Edition)
/Volumes/flac/Mark_Knopfler/Sailing_To_Philadelphia_25th_Anniversary_Edition_2025_Blu_ray_48kHz_DR12,Sailing To Philadelphia,Sailing To Philadelphia (25th Anniversary Edition)
/Volumes/flac/Morrissey/Viva_Hate_Box_Set_1997_CD_44kHz_DR10,Viva Hate,Viva Hate (Box Set)
/Volumes/flac/Natalie_Cole/Unforgettable_With_Love_30th_Anniversary_Edition_2022_Qobuz_96kHz_DR12,Unforgettable With Love,Unforgettable...With Love - 30th Anniversary Edition
/Volumes/flac/Neil_Young/Harvest_Original_Release_Series_04_2014_CD_192kHz_DR13,Harvest,Harvest (Original Release Series 04)
/Volumes/flac/Peter_Gabriel/Peter_Gabriel_1_Car_2003_SACD_88kHz_DR15,Peter Gabriel,Peter Gabriel 1: Car
/Volumes/flac/Peter_Gabriel/Peter_Gabriel_2_Scratch_2003_SACD_88kHz_DR11,Peter Gabriel,Peter Gabriel 2: Scratch
/Volumes/flac/Peter_Gabriel/Peter_Gabriel_3_Melt_2003_SACD_88kHz_DR15,Peter Gabriel,Peter Gabriel 3: Melt
