Directory,Old_Album,New_Album,Extracted_Format,Extracted_Edition,Max_Resolution,DR_Score
/Volumes/Data/flac/The_Alan_Parsons_Project/Eve_1995_CD_44kHz_DR14,Eve [1995 CD 44kHz DR14],Eve [1995 CD],CD,,44.1kHz,14
/Volumes/Data/flac/The_Alan_Parsons_Project/I_Robot_2025_Blu_ray_96kHz_DR12,I Robot [2025 Blu-ray 96kHz DR12],I Robot [2025 Blu-ray],Blu-ray,,96kHz,12
/Volumes/Data/flac/The_Alan_Parsons_Project/Eye_In_The_Sky_1987_CD_44kHz_DR14,Eye In The Sky [1987 CD 44kHz DR14],Eye In The Sky [1987 CD],CD,,44.1kHz,14
/Volumes/Data/flac/The_Alan_Parsons_Project/I_Robot_2025_CD_44kHz_DR10,I Robot [2025 CD 44kHz DR10],I Robot [2025 CD],CD,,44.1kHz,10
/Volumes/Data/flac/The_Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination_Edgar_Allan_Poe_2016_Blu_ray_96kHz_DR12,Tales Of Mystery And Imagination - Edgar Allan Poe [2016 Blu-ray 96kHz DR12],Tales Of Mystery And Imagination - Edgar Allan Poe [2016 Blu-ray],Blu-ray,,96kHz,12
/Volumes/Data/flac/The_Alan_Parsons_Project/Tales_Of_Mystery_And_Imagination_Edgar_Allan_Poe_1994_MFSL_UDCD_44kHz_DR10,Tales Of Mystery And Imagination - Edgar Allan Poe [1994 MFSL UDCD 44kHz DR10],Tales Of Mystery And Imagination - Edgar Allan Poe [1994 MFSL UDCD],MFSL UDCD,,44.1kHz,10
/Volumes/Data/flac/The_Alan_Parsons_Project/Eye_In_The_Sky_2021_MFSL_SACD_88kHz_DR12,Eye In The Sky [2021 MFSL SACD 88kHz DR12],Eye In The Sky [2021 MFSL SACD],MFSL SACD,,88.2kHz,12
/Volumes/Data/flac/The_Alan_Parsons_Project/I_Robot_2016_MFSL_SACD_88kHz_DR10,I Robot [2016 MFSL SACD 88kHz DR10],I Robot [2016 MFSL SACD],MFSL SACD,,88.2kHz,10
/Volumes/Data/flac/The_Alan_Parsons_Project/Vulture_Culture_2024_HDTracks_88kHz_DR14,Vulture Culture [2024 HDTracks 88kHz DR14],Vulture Culture [2024 HDTracks],HDTracks,,88.2kHz,14
/Volumes/Data/flac/The_Alan_Parsons_Project/Eye_In_The_Sky_2026_Blu_ray_48kHz_DR13,Eye In The Sky [2026 Blu-ray 48kHz DR13],Eye In The Sky [2026 Blu-ray],Blu-ray,,96kHz,13
/Volumes/Data/flac/The_Alan_Parsons_Project/Ammonia_Avenue_1988_CD_44kHz_DR14,Ammonia Avenue [1988 CD 44kHz DR14],Ammonia Avenue [1988 CD],CD,,44.1kHz,14
/Volumes/Data/flac/The_Alan_Parsons_Project/Pyramid_1988_CD_44kHz_DR14,Pyramid [1988 CD 44kHz DR14],Pyramid [1988 CD],CD,,44.1kHz,14
/Volumes/Data/flac/The_Alan_Parsons_Project/The_Turn_Of_A_Friendly_Card_2005_HDAD_192kHz_DR14,The Turn Of A Friendly Card [2005 HDAD 192kHz DR14],The Turn Of A Friendly Card [2005 HDAD],HDAD,,192kHz,14
/Volumes/Data/flac/The_Alan_Parsons_Project/I_Robot_2005_HDAD_192kHz_DR12,I Robot [2005 HDAD 192kHz DR12],I Robot [2005 HDAD],HDAD,,192kHz,12
/Volumes/Data/flac/The_Alan_Parsons_Project/Eye_In_The_Sky_2005_HDAD_192kHz_DR12,Eye In The Sky [2005 HDAD 192kHz DR12],Eye In The Sky [2005 HDAD],HDAD,,192kHz,12
/Volumes/Data/flac/The_Alan_Parsons_Project/Vulture_Culture_2009_SHM_CD_44kHz_DR12,Vulture Culture [2009 SHM-CD 44kHz DR12],Vulture Culture [2009 SHM-CD],SHM-CD,,44.1kHz,12
/Volumes/Data/flac/The_Alan_Parsons_Project/The_Turn_Of_A_Friendly_Card_Box_Set_2023_Blu_ray_44kHz_DR12,The Turn Of A Friendly Card - Box-Set [2023 Blu-ray 44kHz DR12],The Turn Of A Friendly Card [2023 Blu-ray],Blu-ray,,96kHz,12
/Volumes/Data/flac/Dire_Straits/Live_1978_1992_2024_CD_44kHz_DR12,Live 1978-1992 [2024 CD 44kHz DR12],Live 1978-1992 [2024 CD],CD,,44.1kHz,12
/Volumes/Data/flac/Dire_Straits/bia,Brothers In Arms (40th Anniversary Edition),Brothers In Arms [2025 Blu-ray (40th Anniversary Edition)],Blu-ray,40th Anniversary Edition,96kHz,14
/Volumes/Data/flac/Dire_Straits/Love_Over_Gold_1983_CD_44kHz_DR14,Love Over Gold [1983 CD 44kHz DR14],Love Over Gold [1983 CD],CD,,44.1kHz,14
/Volumes/Data/flac/Dire_Straits/Love_Over_Gold_2019_MFSL_SACD_88kHz_DR14,Love Over Gold [2019 MFSL SACD 88kHz DR14],Love Over Gold [2019 MFSL SACD],MFSL SACD,,88.2kHz,14
/Volumes/Data/flac/Dire_Straits/Communique_1984_CD_44kHz_DR14,Communiqué [1984 CD 44kHz DR14],Communiqué [1984 CD],CD,,44.1kHz,14
/Volumes/Data/flac/Dire_Straits/Money_For_Nothing_1988_CD_48kHz_DR15,Money For Nothing [1988 CD 48kHz DR15],Money For Nothing [1988 CD],CD,,48kHz,15
/Volumes/Data/flac/Dire_Straits/Dire_Straits_2019_MFSL_SACD_88kHz_DR15,Dire Straits [2019 MFSL SACD 88kHz DR15],Dire Straits [2019 MFSL SACD],MFSL SACD,,88.2kHz,15
/Volumes/Data/flac/Dire_Straits/Brothers_In_Arms_2013_MFSL_SACD_88kHz_DR15,Brothers In Arms [2013 MFSL SACD 88kHz DR15],Brothers In Arms [2013 MFSL SACD],MFSL SACD,,88.2kHz,15
/Volumes/Data/flac/Dire_Straits/Making_Movies_2019_MFSL_SACD_88kHz_DR13,Making Movies [2019 MFSL SACD 88kHz DR13],Making Movies [2019 MFSL SACD],MFSL SACD,,88.2kHz,13
/Volumes/Data/flac/Dire_Straits/Communique_2019_MFSL_SACD_88kHz_DR12,Communiqué [2019 MFSL SACD 88kHz DR12],Communiqué [2019 MFSL SACD],MFSL SACD,,88.2kHz,12
/Volumes/Data/flac/Dire_Straits/On_Every_Street_2024_MFSL_SACD_88kHz_DR13,On Every Street [2024 MFSL SACD 88kHz DR13],On Every Street [2024 MFSL SACD],MFSL SACD,,88.2kHz,13
/Volumes/Data/flac/Dire_Straits/Brothers_In_Arms_40th_Anniversary_Edition_2025_Blu_ray_96kHz_DR14,Brothers In Arms (40th Anniversary Edition) [2025 Blu-ray 96kHz DR14],Brothers In Arms [2025 Blu-ray (40th Anniversary Edition)],Blu-ray,40th Anniversary Edition,96kHz,14
/Volumes/Data/flac/Dire_Straits/ExtendeDancEPlay_1982_Qobuz_44kHz_DR13,ExtendeDancEPlay [1982 Qobuz 44kHz DR13],ExtendeDancEPlay [1982 Qobuz],Qobuz,,44.1kHz,13
/Volumes/Data/flac/Frankie_Goes_To_Hollywood/Rage_Hard_The_Sonic_Collection_2001_SACD_88kHz_DR13,Rage Hard - The Sonic Collection [2001 SACD 88kHz DR13],Rage Hard - The Sonic Collection [2001 SACD],SACD,,88.2kHz,13
/Volumes/Data/flac/Frankie_Goes_To_Hollywood/Twelve_Inches_2001_CD_44kHz_DR08,Twelve Inches [2001 CD 44kHz DR08],Twelve Inches [2001 CD],CD,,44.1kHz,08
/Volumes/Data/flac/Frankie_Goes_To_Hollywood/Welcome_To_The_Pleasuredome_Super_Deluxe_Edition_2025_CD_44kHz_DR10,Welcome To The Pleasuredome (Super Deluxe Edition) [2025 CD 44kHz DR10],Welcome To The Pleasuredome [2025 CD (Super Deluxe Edition)],CD,Super Deluxe Edition,44.1kHz,10
/Volumes/Data/flac/Frankie_Goes_To_Hollywood/Welcome_To_The_Pleasuredome_Deluxe_Edition_2010_CD_44kHz_DR11,Welcome To The Pleasuredome - Deluxe Edition [2010 CD 44kHz DR11],Welcome To The Pleasuredome [2010 CD],CD,,44.1kHz,11
/Volumes/Data/flac/Frankie_Goes_To_Hollywood/Welcome_To_The_Pleasuredome_1985_CD_44kHz_DR13,Welcome To The Pleasuredome [1985 CD 44kHz DR13],Welcome To The Pleasuredome [1985 CD],CD,,44.1kHz,13
/Volumes/Data/flac/Frankie_Goes_To_Hollywood/Welcome_To_The_Pleasuredome_2025_Blu_ray_48kHz_DR13,Welcome To The Pleasuredome [2025 Blu-ray 48kHz DR13],Welcome To The Pleasuredome [2025 Blu-ray],Blu-ray,,96kHz,13
